V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,1
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,1
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,1
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,1
33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,1
35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,1
28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,1
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,1
58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,1
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,1
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,1
29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,1
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,1
58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,1
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,1
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,1
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,1
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,1
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,1
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,1
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,1
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,1
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,1
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,1
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,1
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,1
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,1
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,1
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,1
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,1
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,1
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,1
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,1
